,URL,Name,Salience,Mentions
656,https://medigence.com/hospitals/cardiac-sciences/cabg/india,excellence,7.45655e-05,['excellence']
657,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Treatment,7.45546e-05,['Treatment']
658,https://medigence.com/hospitals/cardiac-sciences/cabg/india,kidney,7.454034e-05,['kidney']
659,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Excellence,7.4492025e-05,['Excellence']
660,https://medigence.com/hospitals/cardiac-sciences/cabg/india,success rates,7.4492025e-05,['success rates']
661,https://medigence.com/hospitals/cardiac-sciences/cabg/india,end,7.401695e-05,['end']
662,https://medigence.com/hospitals/cardiac-sciences/cabg/india,patient/site visitor,7.3155476e-05,['patient/site visitor']
663,https://medigence.com/hospitals/cardiac-sciences/cabg/india,functionsAutomated Stress EchoInterpreter Facility3D,7.300632e-05,['functionsAutomated Stress EchoInterpreter Facility3D']
664,https://medigence.com/hospitals/cardiac-sciences/cabg/india,world,7.286192e-05,['world']
665,https://medigence.com/hospitals/cardiac-sciences/cabg/india,experience,7.285019e-05,['experience']
666,https://medigence.com/hospitals/cardiac-sciences/cabg/india,world,7.281032e-05,['world']
667,https://medigence.com/hospitals/cardiac-sciences/cabg/india,world,7.279376e-05,['world']
668,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospital Experience,7.2772156e-05,['hospital Experience']
669,https://medigence.com/hospitals/cardiac-sciences/cabg/india,experience,7.276155e-05,['experience']
670,https://medigence.com/hospitals/cardiac-sciences/cabg/india,world,7.2756295e-05,['world']
671,https://medigence.com/hospitals/cardiac-sciences/cabg/india,world,7.2745876e-05,['world']
672,https://medigence.com/hospitals/cardiac-sciences/cabg/india,expertise,7.273558e-05,['expertise']
673,https://medigence.com/hospitals/cardiac-sciences/cabg/india,world,7.27254e-05,['world']
674,https://medigence.com/hospitals/cardiac-sciences/cabg/india,consultants,7.228642e-05,['consultants']
675,https://medigence.com/hospitals/cardiac-sciences/cabg/india,chest,7.197174e-05,['chest']
676,https://medigence.com/hospitals/cardiac-sciences/cabg/india,chest,7.1903174e-05,['chest']
677,https://medigence.com/hospitals/cardiac-sciences/cabg/india,breathing tube,7.188453e-05,['breathing tube']
678,https://medigence.com/hospitals/cardiac-sciences/cabg/india,technology,7.1540366e-05,['technology']
679,https://medigence.com/hospitals/cardiac-sciences/cabg/india,techniques,7.1540366e-05,['techniques']
680,https://medigence.com/hospitals/cardiac-sciences/cabg/india,technology,7.1462775e-05,['technology']
681,https://medigence.com/hospitals/cardiac-sciences/cabg/india,technology,7.1431525e-05,['technology']
682,https://medigence.com/hospitals/cardiac-sciences/cabg/india,technology,7.140632e-05,['technology']
683,https://medigence.com/hospitals/cardiac-sciences/cabg/india,risk,7.086983e-05,['risk']
684,https://medigence.com/hospitals/cardiac-sciences/cabg/india,vein,7.082178e-05,['vein']
685,https://medigence.com/hospitals/cardiac-sciences/cabg/india,vein,7.0806345e-05,['vein']
686,https://medigence.com/hospitals/cardiac-sciences/cabg/india,approach,7.0639915e-05,['approach']
687,https://medigence.com/hospitals/cardiac-sciences/cabg/india,breastbone,7.0602895e-05,['breastbone']
688,https://medigence.com/hospitals/cardiac-sciences/cabg/india,All Rights Reserved,7.055528e-05,"['Request', 'All Rights Reserved']"
689,https://medigence.com/hospitals/cardiac-sciences/cabg/india,HEPA filter,7.038609e-05,['HEPA filter']
690,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Air filter,7.038609e-05,['Air filter']
691,https://medigence.com/hospitals/cardiac-sciences/cabg/india,CT scan,7.0312824e-05,['CT scan']
692,https://medigence.com/hospitals/cardiac-sciences/cabg/india,approach,7.020314e-05,['approach']
693,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Breathlessness,6.911383e-05,['Breathlessness']
694,https://medigence.com/hospitals/cardiac-sciences/cabg/india,approaches,6.899832e-05,['approaches']
695,https://medigence.com/hospitals/cardiac-sciences/cabg/india,International Patients Department,6.894372e-05,['International Patients Department']
696,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Lodging ArrangementsInternational Lounge Medantas,6.894372e-05,['Lodging ArrangementsInternational Lounge Medantas']
697,https://medigence.com/hospitals/cardiac-sciences/cabg/india,recognition,6.8917936e-05,['recognition']
698,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Cath,6.8847556e-05,['Cath']
699,https://medigence.com/hospitals/cardiac-sciences/cabg/india,proficiency,6.877394e-05,['proficiency']
700,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Information,6.83547e-05,['Information']
701,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Cardiac Care services.The Rehabilitation Services,6.7607005e-05,['Cardiac Care services.The Rehabilitation Services']
702,https://medigence.com/hospitals/cardiac-sciences/cabg/india,representative,6.697361e-05,['representative']
703,https://medigence.com/hospitals/cardiac-sciences/cabg/india,patient,6.6737666e-05,['patient']
704,https://medigence.com/hospitals/cardiac-sciences/cabg/india,patients,6.670154e-05,['patients']
705,https://medigence.com/hospitals/cardiac-sciences/cabg/india,terms,6.6133645e-05,['terms']
706,https://medigence.com/hospitals/cardiac-sciences/cabg/india,substance,6.606281e-05,['substance']
707,https://medigence.com/hospitals/cardiac-sciences/cabg/india,region,6.60296e-05,['region']
708,https://medigence.com/hospitals/cardiac-sciences/cabg/india,incisions,6.582914e-05,['incisions']
709,https://medigence.com/hospitals/cardiac-sciences/cabg/india,cases,6.5792e-05,['cases']
710,https://medigence.com/hospitals/cardiac-sciences/cabg/india,middle,6.574503e-05,['middle']
711,https://medigence.com/hospitals/cardiac-sciences/cabg/india,middle,6.572254e-05,['middle']
712,https://medigence.com/hospitals/cardiac-sciences/cabg/india,surgery,6.56545e-05,['surgery']
713,https://medigence.com/hospitals/cardiac-sciences/cabg/india,chest pain,6.5578395e-05,['chest pain']
714,https://medigence.com/hospitals/cardiac-sciences/cabg/india,flat panel,6.553185e-05,['flat panel']
715,https://medigence.com/hospitals/cardiac-sciences/cabg/india,airway stents,6.5485736e-05,['airway stents']
716,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Ultrasound,6.5485736e-05,['Ultrasound']
717,https://medigence.com/hospitals/cardiac-sciences/cabg/india,stent,6.5485736e-05,['stent']
718,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Minimally Invasive,6.5475746e-05,['Minimally Invasive']
719,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Faridabad,6.5451735e-05,['Faridabad']
720,https://medigence.com/hospitals/cardiac-sciences/cabg/india,addition,6.5421205e-05,['addition']
721,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Orthopaedics,6.536151e-05,['Orthopaedics']
722,https://medigence.com/hospitals/cardiac-sciences/cabg/india,area,6.536151e-05,['area']
723,https://medigence.com/hospitals/cardiac-sciences/cabg/india,healthcare organisation,6.536151e-05,['healthcare organisation']
724,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Bone Marrow TransplantationRobotic,6.477066e-05,['Bone Marrow TransplantationRobotic']
725,https://medigence.com/hospitals/cardiac-sciences/cabg/india,aorta,6.4676766e-05,['aorta']
726,https://medigence.com/hospitals/cardiac-sciences/cabg/india,field,6.4666994e-05,['field']
727,https://medigence.com/hospitals/cardiac-sciences/cabg/india,vein,6.4638385e-05,['vein']
728,https://medigence.com/hospitals/cardiac-sciences/cabg/india,aorta,6.4638385e-05,['aorta']
729,https://medigence.com/hospitals/cardiac-sciences/cabg/india,aorta,6.4575404e-05,['aorta']
730,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Patient Stories,6.4477965e-05,['Patient Stories']
731,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Healthcare Packages,6.4477965e-05,['Healthcare Packages']
732,https://medigence.com/hospitals/cardiac-sciences/cabg/india,relationship,6.42474e-05,['relationship']
733,https://medigence.com/hospitals/cardiac-sciences/cabg/india,following,6.398958e-05,['following']
734,https://medigence.com/hospitals/cardiac-sciences/cabg/india,following,6.3910746e-05,['following']
